dateTimeFirstSeen	duration	protocol	endPointA_ipAddress	endPointA_portNo	direction	endPointB_ipAddress	endPointB_portNo	flags	tos	outboundPacketCount	inboundPacketCount	outboundByteCount	inboundByteCount	flowCount	dhcpLease_ipAddress	dhcpLease_macAddress	dhcpLease_expiryTimestamp	dnsRecord_ipAddress	dnsRecord_name	dnsRecord_timestamp	category
2015-09-10T12:36:43.472Z	2.273	17	74.125.227.237	443	<->	192.168.22.153	54690	......	0	7	4	4868	1979	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	74.125.227.237	pagead.l.doubleclick.net	2015-09-10T12:18:23.000Z	Ads
2015-09-10T12:29:26.926Z	16.354	6	54.225.178.149	80	<->	192.168.22.153	51099	.A..SF	0	4	2	172	92	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	54.225.178.149	log-2048315323.us-east-1.elb.amazonaws.com	2015-09-10T12:29:26.000Z	AWS Amazon
2015-09-10T12:31:53.253Z	11.019	6	68.67.129.149	80	<->	192.168.22.153	51974	.AP.SF	0	8	9	2361	4852	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	68.67.129.149	lax1.ib.adnxs.com	2015-09-10T12:29:57.000Z	Ads
2015-09-10T13:38:30.972Z	51.21	6	96.16.7.72	80	<->	192.168.22.157	49165	.AP.S.	0	10	11	1520	2488	2	192.168.22.157	60:6c:66:81:67:71	2015-09-11T00:24:27.000Z	96.16.7.72	user-att-107-205-48-0.a1363.dscg.akamai.net	2015-09-10T13:38:30.000Z	CDN
2015-09-10T13:05:12.916Z	0.041	17	173.194.115.90	443	<->	192.168.22.153	52309	......	0	2	1	1443	1378	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	173.194.115.90	pagead.l.doubleclick.net	2015-09-10T12:24:29.000Z	Ads
2015-09-10T12:26:48.035Z	5.213	6	192.168.22.153	50707	<->	216.39.54.212	80	.AP.SF	0	7	8	634	2368	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	216.39.54.212	pr.ybp.gysm.yahoodns.net	2015-09-10T12:18:23.000Z	Search Engine
2015-09-10T12:32:09.319Z	22.059	6	31.13.66.12	80	<->	192.168.22.153	52078	.AP.SF	0	54	53	56280	9390	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	31.13.66.12	liverail.c10r.facebook.com	2015-09-10T10:06:36.000Z	Social
2015-09-10T10:06:19.121Z	22.952	6	192.168.22.153	49450	<->	199.16.172.74	80	.APRSF	0	10	11	5968	2582	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	199.16.172.74	ny1-g005.intellitxt.com	2015-09-10T10:04:44.000Z	Analytics
2015-09-10T13:41:29.760Z	306.053	6	66.196.116.112	443	<->	192.168.22.153	58981	.AP.SF	0	12	16	1765	6086	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	66.196.116.112	comet.yahoo.pr.g01.yahoodns.net	2015-09-10T13:41:29.000Z	Search Engine
2015-09-10T11:12:03.421Z	309.236	6	72.30.196.161	443	<->	192.168.22.153	49678	.AP.SF	0	14	18	1826	6027	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	72.30.196.161	comet.yahoo.g01.yahoodns.net	2015-09-10T11:06:03.000Z	Search Engine
2015-09-10T12:30:55.568Z	18.88	6	192.168.22.153	51642	<->	199.16.172.74	80	.A..SF	0	3	5	144	224	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	199.16.172.74	ny1-g005.intellitxt.com	2015-09-10T10:04:44.000Z	Analytics
2015-09-10T12:32:24.650Z	0.044	17	74.125.227.237	443	<->	192.168.22.153	61579	......	0	2	1	1443	1378	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	74.125.227.237	pagead.l.doubleclick.net	2015-09-10T12:18:23.000Z	Ads
2015-09-10T14:20:09.417Z	171.019	6	98.138.81.73	443	<->	192.168.22.153	59502	.AP.SF	0	31	33	15112	8669	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	98.138.81.73	geoycpi-uno-lite.gycpi.b.yahoodns.net	2015-09-10T14:02:59.000Z	Search Engine
2015-09-10T12:58:17.866Z	310.038	6	192.168.22.153	57850	<->	198.51.158.116	80	.AP.SF	0	11	11	1780	3146	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	198.51.158.116	s.ixiaa.com	2015-09-10T12:58:15.000Z	Analytics
2015-09-10T12:35:30.864Z	71.491	6	69.172.216.111	443	<->	192.168.22.153	53053	.AP.SF	0	16	16	6041	5939	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	69.172.216.111	anycast.dt.adsafeprotected.com	2015-09-10T12:34:07.000Z	Ads
2015-09-10T13:12:37.306Z	0.745	17	192.168.22.153	56579	<->	216.58.218.194	443	......	0	2	4	1745	2489	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	216.58.218.194	pagead46.l.doubleclick.net	2015-09-10T13:09:07.000Z	Ads
2015-09-10T12:31:16.690Z	25.158	6	31.13.66.12	80	<->	192.168.22.153	51789	.AP.SF	0	47	49	44317	11403	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	31.13.66.12	liverail.c10r.facebook.com	2015-09-10T10:06:36.000Z	Social
2015-09-10T13:24:47.102Z	67.921	6	69.172.216.111	443	<->	192.168.22.153	58400	.AP.SF	0	9	12	2305	4927	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	69.172.216.111	anycast.dt.adsafeprotected.com	2015-09-10T12:34:07.000Z	Ads
2015-09-10T12:24:36.054Z	0.084	6	96.16.7.83	80	<->	192.168.22.157	49161	.AP.SF	0	5	5	309	391	2	192.168.22.157	60:6c:66:81:67:71	2015-09-11T00:24:27.000Z	96.16.7.83	user-att-107-205-48-0.a1961.g.akamai.net	2015-09-10T12:24:36.000Z	CDN
2015-09-10T12:56:48.409Z	0.41	6	192.168.22.153	57372	<->	204.86.118.20	80	.APRSF	0	8	8	3070	3539	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	204.86.118.20	vpc.altitude-arena.com	2015-09-10T12:54:34.000Z	AWS Amazon
2015-09-10T12:44:32.414Z	13.244	6	104.130.53.78	80	<->	192.168.22.153	55129	.AP.SF	0	8	8	2445	5167	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	104.130.53.78	radar-prod-2-lbs-dfw.coull.com	2015-09-10T12:34:30.000Z	Analytics
2015-09-10T12:54:01.162Z	6.491	6	98.139.225.168	80	<->	192.168.22.153	57071	.AP.SF	0	7	7	4087	471	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	98.139.225.168	pr.ybp.gysm.yahoodns.net	2015-09-10T12:34:10.000Z	Search Engine
2015-09-10T12:39:00.613Z	74.952	6	31.13.66.1	80	<->	192.168.22.153	53982	.AP.SF	0	7	7	1158	2464	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	31.13.66.1	star.c10r.facebook.com	2015-09-10T11:33:40.000Z	Social Network
2015-09-10T11:15:50.534Z	0.093	17	192.168.22.153	64253	<->	216.58.218.206	443	......	0	2	4	1802	1939	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	216.58.218.206	play.l.google.com	2015-09-10T11:15:50.000Z	Application Store
2015-09-10T13:17:58.032Z	16.989	6	64.94.116.180	443	<->	192.168.22.153	58218	.AP.SF	0	5	7	534	453	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	64.94.116.180	pd0-adserver.revsci.net	2015-09-10T13:09:08.000Z	Js Library
2015-09-10T14:55:29.452Z	308.321	6	23.211.16.93	80	<->	192.168.22.153	59794	.AP.SF	0	64	106	5522	141227	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	23.211.16.93	user-att-107-205-48-0.e3191.dscc.akamaiedge.net	2015-09-10T14:55:29.000Z	CDN
2015-09-10T12:50:42.858Z	0.214	6	12.129.210.71	80	<->	192.168.22.153	56613	.AP.SF	0	6	4	4154	602	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	12.129.210.71	bs.eyeblaster.akadns.net	2015-09-10T12:49:44.000Z	VoIp
2015-09-10T12:40:22.200Z	0.631	6	96.17.177.18	80	<->	192.168.22.153	54054	.APRS.	0	6	4	919	819	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	96.17.177.18	user-att-107-205-48-0.a568.d.akamai.net	2015-09-10T12:09:55.000Z	CDN
2015-09-10T12:42:13.020Z	12.615	6	98.138.49.43	80	<->	192.168.22.153	54419	.A..SF	0	4	2	172	92	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	98.138.49.43	fd-world.ngd.gysm.yahoodns.net	2015-09-10T12:18:22.000Z	Js Library
2015-09-10T14:02:55.131Z	11.303	6	54.240.248.207	443	<->	192.168.22.153	59333	.AP.SF	0	8	6	877	3037	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	54.240.248.207	aax-us-pdx.amazon-adsystem.com	2015-09-10T14:02:55.000Z	Analytics
2015-09-10T14:20:24.385Z	0.547	6	107.21.249.145	443	<->	192.168.22.153	59583	.AP.SF	0	9	9	2021	4176	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	107.21.249.145	userdblb.tubemogul.com	2015-09-10T13:18:30.000Z	Analytics
2015-09-10T13:03:42.918Z	119.952	6	50.16.197.122	443	<->	192.168.22.153	57957	.AP.SF	0	11	10	1631	5763	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	50.16.197.122	dualstack.stylus-elb-new-1836657094.us-east-1.elb.amazonaws.com	2015-09-10T11:43:36.000Z	AWS Amazon
2015-09-10T13:25:47.158Z	17.927	6	52.8.137.168	443	<->	192.168.22.153	58493	.APRSF	0	6	6	820	420	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	52.8.137.168	log-zone-b-1304148952.us-west-1.elb.amazonaws.com	2015-09-10T13:24:54.000Z	AWS Amazon
2015-09-10T13:47:16.073Z	19.74	6	23.43.200.68	443	<->	192.168.22.153	58998	.APRSF	0	5	6	780	435	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	23.43.200.68	user-att-107-205-48-0.e5413.g.akamaiedge.net	2015-09-10T13:33:00.000Z	CDN
2015-09-10T12:25:51.830Z	14.827	6	192.168.22.153	50537	<->	216.58.218.174	80	.A..SF	0	2	4	92	172	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	216.58.218.174	play.l.google.com	2015-09-10T12:19:47.000Z	Application Store
2015-09-10T10:04:42.685Z	0.505	6	15.201.8.17	80	<->	192.168.22.153	49239	.AP.SF	0	48	85	2839	124326	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	15.201.8.17	apps.hpgtm.nsatc.net	2015-09-10T10:04:04.000Z	Js Library
2015-09-10T12:25:39.535Z	243.701	6	192.168.22.153	50469	<->	216.58.218.195	80	.APRSF	0	10	10	728	985	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	216.58.218.195	ssl.gstatic.com	2015-09-10T10:04:44.000Z	Google Services
2015-09-10T12:32:09.319Z	20.115	6	31.13.66.12	80	<->	192.168.22.153	52079	.AP.SF	0	58	62	59727	13883	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	31.13.66.12	liverail.c10r.facebook.com	2015-09-10T10:06:36.000Z	Social
2015-09-10T12:58:03.272Z	151.625	6	23.204.101.231	443	<->	192.168.22.153	57699	.AP.SF	0	13	14	1941	4239	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	23.204.101.231	user-att-107-205-48-0.e5413.g.akamaiedge.net	2015-09-10T12:18:23.000Z	CDN
2015-09-10T12:58:00.997Z	0.101	17	192.168.22.153	65056	<->	216.58.218.173	443	......	0	5	6	2145	3995	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	216.58.218.173	accounts.l.google.com	2015-09-10T11:14:21.000Z	File Sharing
2015-09-10T12:37:50.215Z	15.328	6	172.230.193.70	80	<->	192.168.22.153	53732	.A..SF	0	4	2	172	92	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	172.230.193.70	user-att-107-205-48-0.e8314.g.akamaiedge.net	2015-09-10T12:34:32.000Z	CDN
2015-09-10T13:47:07.498Z	0.051	17	192.168.22.153	55644	<->	216.58.218.163	443	......	0	1	2	1378	1443	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	216.58.218.163	www.gstatic.com	2015-09-10T10:07:21.000Z	Office
2015-09-10T15:20:30.137Z	10.124	6	192.168.22.153	59863	<->	198.58.105.13	80	.AP.SF	0	30	20	35970	2126	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	198.58.105.13	www.delete-computer-history.com	2015-09-10T15:14:11.000Z	Analytics
2015-09-10T15:13:41.677Z	29.357	17	74.125.196.103	443	<->	192.168.22.153	49397	......	0	139	194	19031	173077	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	74.125.196.103	www.google.com	2015-09-10T15:13:41.000Z	Analytics
2015-09-10T12:06:11.150Z	12.283	6	69.172.216.111	443	<->	192.168.22.153	49857	.AP.SF	0	8	8	1064	4691	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	69.172.216.111	anycast.dt.adsafeprotected.com	2015-09-10T11:33:40.000Z	Ads
2015-09-10T12:50:52.984Z	14.612	6	31.13.66.12	80	<->	192.168.22.153	56653	.A..SF	0	4	2	172	92	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	31.13.66.12	liverail.c10r.facebook.com	2015-09-10T12:49:47.000Z	Social
